ID,Question,Difficult,HPT 1.6 Air,CogVLM2
yanlin_chart_1.jpg,what does the image mean,medium,,
yanlin_chart_2.jpg,Are there any data points exceeding the upper or lower limits?,easy,,
yanlin_chart_2.jpg,What is the average for all subgroups?,easy,,
yanlin_chart_3.png,What is the total sales amount in the United States over the four years combined?,difficult,,
yanlin_chart_3.png,Which country had the highest sales in 2021?,easy,,
yanlin_chart_3.png,Does the United States always have the highest sales volume?,medium,,
yanlin_chart_3.png,Does Canada always have the lowest sales volume over the years?,medium,,
yanlin_chart_3.png,What is the trend in sales volume for Mexico?,medium,,
yanlin_chart_4.png,Provide a title for this image.,difficult,,
yanlin_chart_4.png,Analyze this pie chart and extract the key information.,difficult,,
yanlin_chart_4.png,Which ethnic group has the largest proportion?,easy,,
yanlin_chart_4.png,Which ethnic group has the smallest proportion?,easy,,
yanlin_chart_4.png,Which two ethnic groups have similar proportions?,easy,,
yanlin_chart_5.png,Summarize this pie chart.,difficult,,
xzx_chart_1.png,In approximately which round is the score the lowest?,medium,,
xzx_chart_1.png,Which color has the highest score?,easy,,
xzx_chart_1.png,Which color has the lowest score?,easy,,
xzx_chart_2.png,Which γ1 has the highest score?,medium,,
xzx_chart_2.png,Which γ1 has the lowestscore?,medium,,
xzx_chart_3.png,Which month has the lowest temperature?,difficult,,
xzx_chart_3.png,Which month has the highest temperature?,difficult,,
xzx_chart_3.png,Which month has the lowest rainfall?,difficult,,
xzx_chart_3.png,Which month has the highest rainfall?,difficult,,
xzx_chart_4.png,Which month has the lowest temperature?,medium,,
xzx_chart_4.png,Which month has the highest temperature?,medium,,
xzx_chart_5.png,Which color has the highest score?,easy,,
xzx_chart_5.png,Which color has the lowest score?,easy,,
xzx_chart_6.png,Which country has the most population?,easy,,
xzx_chart_7.png,Is this stock going up?,easy,,
quang_ocr_1.jpg,Extract the text in the image,Easy,,
quang_ocr_1.jpg,How many number 1's are there in the image?,Difficult,,
yanlin_ocr_1.jpg,Extract the text in the image,easy,,
yanlin_ocr_2.png,Extract the text in the image,easy,,
yanlin_ocr_3.jpg,Extract the text in the image,medium,,
yanlin_ocr_3.jpg,What is the main argument presented in the editorial about cell phones in schools?,difficult,,
yanlin_ocr_3.jpg,"According to the article, why do schools have strict rules about cell phone usage?",difficult,,
yanlin_ocr_3.jpg,What example is given about a student taking a case to the Supreme Court?,difficult,,
yanlin_ocr_3.jpg,What are the reasons provided by students for needing cell phones in school?,difficult,,
yanlin_ocr_4.jpg,Extract the text in the image,easy,,
yanlin_ocr_5.jpg,Extract the text in the image,medium,,
yanlin_ocr_5.jpg,what is the date of the bill,difficult,,
yanlin_ocr_5.jpg,what is total amount,difficult,,
yanlin_ocr_6.jpg,Extract the text in the image,medium,,
yanlin_ocr_6.jpg,Which direction should I go to get to the park?,difficult,,
yanlin_ocr_7.jpg,Extract the text in the image,medium,,
xzx_ocr_1.png,Extract the text in the image,medium,,
xzx_ocr_1.png,What is the GST amount?,difficult,,
xzx_ocr_1.png,What is the grand total?,difficult,,
xzx_ocr_2.jpg,Extract the text in the image,medium,,
xzx_ocr_2.jpg,Which station has the largest station number?,difficult,,
xzx_ocr_2.jpg,Which station has the smallest station number?,difficult,,
xzx_ocr_3.jpg,Which LRT station is it in the photo?,easy,,
xzx_ocr_4.jpg,Extract the text in the image,medium,,
xzx_ocr_4.jpg,What is the destination of the train at Platform A?,difficult,,
xzx_ocr_5.png,What is the verbal score of this person?,medium,,
xzx_ocr_5.png,What is the quantitative score of this person?,medium,,
xzx_ocr_5.png,What is the test name of this report?,difficult,,
xzx_ocr_6.png,Extract the text in the image,medium,,
xzx_ocr_7.png,Extract the text in the image,medium,,
pc_ocr_1.png,Extract the text in the image,Easy,,
yanlin_cap_1.jpg,what are they doing,medium,,
yanlin_cap_2.jpg,describe the piicture,medium,,
yanlin_cap_3.jpg,what is in the picture,medium,,
yanlin_cap_4.jpg,what is it,medium,,
xzx_cap_1.png,Describe the photo,medium,,
xzx_cap_2.png,What is this person doing?,medium,,
xzx_cap_3.jpg,Describe the photo,medium,,
